	# handlers	# handlers finais	# pacotes	# final handlers por pacotes		# final handlers of external	# resignaler handlers external -> any	# resignaler handlers external -> project		# final handlers of checked	# resignaler handlers checked -> any	# resignaler handlers checked -> unchecked		# project exceptions	# project types		# project exceptions	# subtypes of project exceptions		# handlers	# resignaler handlers	# resignaler handlers with logging actions	# final handlers	# final handlers with logging actions		# handlers	# resignaler handlers with calls to dedicated handlers	# final handlers with calls to dedicated handlers	# handlers per dedicated handler		
[249089] arquillian-arquillian-cube	294	131	115	19 9 9 7 6 6 6 5 5 5 4 4 4 4 3 3 3 3 3 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		14	12	2		108	143	131		2	536		2	0 0		294	163	1	131	20		294	10	9	10 8 1		
[257973] MovingBlocks-DestinationSol	31	24	36	7 4 4 4 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		0	2	1		21	2	0		1	299		1	0		31	7	2	24	11		31	0	0	0		
[259608] jmrozanec-cron-utils	17	14	18	9 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		0	0	0		13	0	0		1	70		1	0		17	3	0	14	1		17	0	0	0		
[261452] apache-guacamole-client	212	123	99	13 13 12 12 11 10 6 6 5 4 4 4 3 3 2 2 2 2 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		29	7	6		76	70	14		36	483		36	34 21 7 6 4 4 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		212	89	8	123	102		212	6	0	6		
[268236] murraco-spring-boot-jwt	3	1	9	1 0 0 0 0 0 0 0 0		0	2	2		0	0	0		1	14		1	0		3	2	0	1	0		3	0	0	0		
[271843] thelinmichael-spotify-web-api-java	157	157	48	26 24 16 14 12 10 10 8 6 5 4 4 4 3 3 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		2	0	0		155	0	0		9	389		9	0 0 0 0 0 0 0 0 0		157	0	0	157	0		157	0	0	0		
[274551] spring-projects-spring-boot	682	396	563	21 14 13 12 11 10 10 10 8 7 7 7 7 7 7 6 6 6 6 6 5 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		39	23	8		299	233	181		43	2989		43	4 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		682	286	5	396	51		682	10	8	2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1		
[280749] Unidata-thredds	2762	1837	235	235 74 65 58 51 44 34 33 33 33 31 29 29 28 26 26 26 25 24 24 22 22 21 21 21 17 17 16 16 16 15 15 15 15 14 14 14 13 13 13 12 12 11 11 11 11 10 10 10 10 9 9 9 8 8 8 8 8 7 7 7 7 7 7 7 6 6 6 6 6 6 6 6 6 6 6 6 6 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		104	173	2		1570	698	349		75	3448		75	22 21 6 5 5 4 3 3 2 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		2762	925	114	1837	684		2762	3	27	14 7 3 2 2 1 1		
[285562] ff4j-ff4j	201	59	94	11 9 6 4 4 3 3 2 2 2 2 2 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		10	14	10		35	108	106		9	330		9	0 0 0 0 0 0 0 0 0		201	142	2	59	19		201	5	2	5 2		
[286502] arthurgregorio-web-budget	15	7	56	2 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		3	1	0		3	7	5		1	196		1	0		15	8	0	7	1		15	0	0	0		
[290071] RoaringBitmap-RoaringBitmap	56	33	35	18 12 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		0	0	0		33	18	18		1	226		1	0		56	23	0	33	1		56	0	0	0		
[296053] vlingo-vlingo-actors	36	24	15	20 4 0 0 0 0 0 0 0 0 0 0 0 0 0		0	0	0		24	11	11		1	118		1	0		36	12	3	24	10		36	0	0	0		
[299854] nidi3-graphviz-java	33	15	7	12 2 1 0 0 0 0		0	4	4		10	14	13		2	66		2	0 0		33	18	0	15	3		33	0	0	0		
[311082] Kong-unirest-java	30	9	2	5 4		1	1	1		4	18	18		3	67		3	2 0 0		30	21	0	9	0		30	0	3	3		
[312708] micrometer-metrics-micrometer	110	81	109	6 6 5 4 4 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		5	3	0		67	26	21		3	499		3	0 0 0		110	29	1	81	31		110	1	0	1		
[314309] jboss-modules-jboss-modules	218	106	10	77 11 6 4 4 2 2 0 0 0		2	1	0		86	87	43		4	171		4	1 0 0 0		218	112	6	106	5		218	5	0	5		
[318705] loveincode-java-multi-thread-programming	217	217	188	8 5 4 4 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		0	0	0		216	0	0		0	621		0	0		217	0	0	217	212		217	0	0	0		
[320221] dhatim-fastexcel	8	0	2	0 0		0	5	4		0	4	3		1	32		1	0		8	8	0	0	0		8	0	0	0		
[325726] wikimedia-wikidata-query-rdf	110	49	26	16 10 5 3 3 3 2 2 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0		4	20	8		37	36	26		5	210		5	2 0 0 0 0		110	61	7	49	27		110	0	0	0		
[328758] ctripcorp-apollo	225	153	120	44 14 8 7 6 6 5 5 5 4 4 4 4 3 3 3 3 3 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		4	5	1		145	65	52		9	452		9	3 0 0 0 0 0 0 0 0		225	72	12	153	67		225	8	55	43 13 7		
[330680] os72-protoc-jar-maven-plugin	15	6	1	6		0	0	0		6	9	0		0	3		0	0		15	9	0	6	1		15	0	0	0		
[332185] oshi-oshi	43	42	29	15 6 4 3 3 2 2 2 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		6	1	0		20	0	0		0	177		0	0		43	1	0	42	27		43	0	0	0		
[332851] SonarSource-sonar-scanner-jenkins	25	17	14	4 3 3 2 2 2 1 0 0 0 0 0 0 0		3	3	0		15	5	2		1	87		1	0		25	8	0	17	6		25	0	0	0		
[339215] magefree-mage	694	658	215	130 57 48 40 25 20 19 18 18 17 17 13 13 13 13 12 12 12 10 10 9 8 8 6 5 5 5 5 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		14	2	0		579	33	19		8	29504		8	3 0 0 0 0 0 0 0		694	36	3	658	272		694	6	153	122 20 8 3 2 2 1 1		
[351478] apache-ignite	4975	2518	791	216 159 147 85 69 68 66 63 49 48 47 46 35 34 31 30 28 27 26 25 25 23 22 21 20 20 20 20 19 19 18 18 16 15 15 15 15 15 14 14 13 13 13 12 12 12 12 12 11 11 11 11 11 11 10 10 10 10 10 10 10 10 10 10 9 9 9 8 8 8 8 7 7 7 7 7 7 7 7 7 7 7 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 5 5 5 5 5 5 5 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		63	96	53		2158	2093	1115		180	5799		180	82 62 11 10 8 8 5 4 4 4 2 2 2 2 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		4975	2457	162	2518	803		4975	647	980	882 183 76 35 28 30 9 19 18 18 15 12 8 10 10 9 9 7 8 7 7 7 6 6 6 6 4 5 5 5 5 5 4 4 4 4 3 4 4 4 4 3 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1		
[354252] sakaiproject-sakai	9859	8174	961	406 317 223 183 183 179 164 150 128 125 116 110 98 95 93 88 88 85 85 82 78 77 75 67 65 64 64 62 60 60 59 55 53 49 49 48 48 47 47 47 46 46 44 42 41 40 40 40 39 39 38 37 37 36 36 36 36 35 34 34 34 34 34 33 31 29 29 29 29 29 28 28 28 28 28 28 27 27 27 27 26 26 25 25 25 24 24 24 23 23 23 23 23 23 23 23 22 22 21 21 21 21 21 21 20 20 20 20 20 20 19 19 19 19 18 18 17 17 17 17 17 17 17 17 17 17 16 16 16 16 16 15 15 15 15 15 15 14 14 14 14 14 14 14 14 13 13 13 13 13 13 13 12 12 12 12 12 12 11 11 11 11 11 11 11 11 11 11 10 10 10 10 10 10 10 10 10 10 9 9 9 9 9 9 9 9 9 9 9 9 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		444	228	157		7051	1291	729		192	5098		192	17 13 5 4 3 3 2 2 2 2 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		9859	1685	247	8174	2612		9859	1	84	65 7 5 4 2 1 1		
[365155] nishio-dens-bitbucket-pullrequest-builder-plugin	17	17	4	7 5 3 2		1	0	0		16	0	0		0	50		0	0		17	0	0	17	15		17	0	0	0		
[366185] confluentinc-kafka-streams-examples	28	20	8	11 4 2 1 1 1 0 0		1	2	0		18	6	4		0	67		0	0		28	8	0	20	7		28	0	0	0		
[367399] lupino3-edumips64	206	160	10	42 41 26 24 12 6 3 3 2 1		1	0	0		142	40	6		40	261		40	6 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		206	46	25	160	54		206	0	0	0		
[369279] JesseHu1520-mall	3	2	12	2 0 0 0 0 0 0 0 0 0 0 0		0	0	0		2	1	0		1	31		1	0		3	1	0	2	2		3	0	0	0		
[369947] DiscordSRV-DiscordSRV	127	118	15	39 21 16 16 8 4 4 3 2 2 1 1 1 0 0		10	0	0		102	9	7		0	92		0	0		127	9	0	118	45		127	0	0	0		
[377962] rubenlagus-TelegramBots	125	33	53	11 8 4 2 2 2 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		3	1	1		27	91	1		3	241		3	2 0 0		125	92	0	33	17		125	0	17	17		
[379651] junit-team-junit5	131	71	65	13 9 8 8 7 5 4 3 2 2 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		2	0	0		57	55	47		13	398		13	12 1 1 0 0 0 0 0 0 0 0 0 0		131	60	1	71	16		131	23	45	26 12 5 4 3 2 2 2 2 2 2 1 1 1 1 1 1		
[379808] weibocom-motan	235	163	71	18 17 15 13 8 7 7 7 6 5 5 4 4 4 4 3 3 3 3 3 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		17	1	0		134	62	58		6	338		6	3 0 0 0 0 0		235	72	7	163	80		235	15	75	72 9 4 1 1 1 1 1		
[399746] diffplug-spotless	89	27	40	6 5 5 3 2 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		4	11	1		17	51	30		4	228		4	0 0 0 0		89	62	1	27	2		89	12	0	12		
[400659] OWASP-java-html-sanitizer	8	5	4	5 0 0 0		0	0	0		4	3	1		0	66		0	0		8	3	0	5	0		8	0	1	1		
[400941] IQSS-dataverse	1493	1235	96	326 313 78 72 56 41 27 24 19 19 19 16 15 14 13 11 8 8 7 7 7 7 7 7 6 5 5 5 5 5 5 5 5 4 4 4 4 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		161	52	16		937	173	28		29	774		29	5 3 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		1493	258	23	1235	207		1493	3	7	2 2 2 2 1 1		
[415704] mebigfatguy-fb-contrib	257	210	8	157 46 4 2 1 0 0 0		2	1	0		180	36	10		3	562		3	0 0 0		257	47	0	210	26		257	2	0	2		
[421800] AxonFramework-AxonFramework	239	131	95	14 8 8 7 7 6 6 5 5 5 5 5 5 4 4 4 3 3 3 3 3 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		8	10	10		101	91	73		57	729		57	53 20 13 3 2 2 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		239	108	6	131	36		239	2	22	7 4 3 2 2 2 1 1 1 1		
[423959] spring-cloud-spring-cloud-gateway	21	7	20	3 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		0	4	0		3	9	7		2	189		2	0 0		21	14	1	7	3		21	0	0	0		
[424845] lukas-krecan-ShedLock	28	14	20	4 3 2 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0		8	3	2		5	9	9		2	74		2	1 0		28	14	1	14	2		28	0	3	3		
[429430] TechEmpower-FrameworkBenchmarks	87	54	114	8 4 4 4 3 3 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		2	4	0		21	25	14		0	471		0	0		87	33	0	54	4		87	0	0	0		
[433543] Microsoft-azure-devops-intellij	336	267	80	18 17 17 15 13 12 11 10 10 10 9 9 8 8 8 7 6 5 4 4 4 4 4 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		57	16	2		172	40	19		27	614		27	7 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		336	69	20	267	138		336	3	32	9 6 4 2 2 2 1 2 2 1 1 1 1 1		
